,Region,ParishName,BEF1699,BeginPlaguePeriod,EndPlaguePeriod,VictimsNumber,geometry,new_format_BeginPlaguePeriod,new_format_EndPlaguePeriod,BeginDaysPlague,EndDaysPlague,centroid
0,SOUTHEAST,YSTAD,1782,JUN 1712,DEC 1712,740.0,"POLYGON ((4240506.247557897 3176029.5812564003, 4238053.5741254715 3175589.468352496, 4235692.144724559 3174136.1469319663, 4234141.061584048 3174691.6943350625, 4232233.684619894 3174722.8825157746, 4232453.663544339 3175129.3340392923, 4233118.055184642 3175931.1453313683, 4233181.208405356 3176354.1400631, 4233600.208785743 3176582.2326333914, 4233913.43393927 3176675.466611015, 4233901.780249022 3176820.3140760576, 4234658.76563811 3177075.5944231274, 4234983.646766364 3177023.97632358, 4235833.322971535 3177335.2970204093, 4235953.08598405 3177296.3338324055, 4236447.432324579 3176587.7231190237, 4237194.969717979 3176356.2650137586, 4237480.784459405 3176427.8412043084, 4238655.349732376 3176687.4951548064, 4239012.646035569 3176716.216658844, 4239391.242341774 3176600.862524934, 4239779.837544603 3176602.9386641444, 4240049.881025919 3176508.013488709, 4240233.701739983 3176639.4152947557, 4240565.56530971 3176500.860981575, 4240623.936901196 3176379.204180588, 4240633.248975841 3176263.3241651626, 4240666.530246444 3176091.0564705394, 4240651.096949974 3176041.221307379, 4240527.112824586 3176011.8200298063, 4240506.247557897 3176029.5812564003))",1712-06-01,1712-12-01,0,213,POINT (4235880.810923543 3175774.141675906)
1,SOUTHEAST,ÖJA,156,JUN 1712,MAR 1713,40.0,"POLYGON ((4236218.454418454 3180039.080157111, 4236359.529570177 3179856.0372064034, 4236409.910819435 3179471.311723616, 4236510.466075101 3179187.8171399, 4236622.567851028 3179002.4455024134, 4236614.566103633 3178739.3800495565, 4236769.615887066 3178382.5161959496, 4236954.748876346 3178134.9843109404, 4236997.697082078 3177963.49199208, 4237107.366028229 3178050.0646247473, 4237163.415157222 3177957.379504417, 4237480.784459405 3176427.8412043084, 4237194.969717979 3176356.2650137586, 4236447.432324579 3176587.7231190237, 4235953.08598405 3177296.3338324055, 4235833.322971535 3177335.2970204093, 4234983.646766364 3177023.97632358, 4234737.691761723 3177665.0896666734, 4235025.837746196 3177707.7074453356, 4235501.8245663885 3179281.639331704, 4235719.944018243 3179590.7662240095, 4235800.978188894 3179791.6729674335, 4235872.691569887 3180108.4643313326, 4236028.652620166 3180344.557738774, 4236218.454418454 3180039.080157111))",1712-06-01,1713-03-01,0,303,POINT (4236171.52874792 3178038.800015468)
2,SOUTHEAST,BJÄRESJÖ,376,JUL 1712,,,"POLYGON ((4228840.23212816 3178726.0422251667, 4228969.52800742 3178930.8389639943, 4229075.623071717 3179182.364156309, 4229382.303254309 3179236.218070481, 4229548.347503 3179346.7815641733, 4229785.87706265 3179414.504321682, 4229830.272840987 3179466.6756501505, 4229826.259586718 3179757.9328302415, 4230145.585628842 3180016.9096137756, 4230390.893220512 3179988.0634070444, 4230524.2064740965 3179901.602687684, 4230640.08806802 3179910.9322915496, 4230755.519737151 3180046.5777972615, 4230806.013731297 3180264.4704701924, 4231028.121523653 3180282.3514803723, 4231541.370616989 3180547.2165653333, 4231688.556481978 3180529.906063677, 4231742.28243065 3180466.194297057, 4232109.693275016 3180369.4146596347, 4232069.181533916 3180268.959156463, 4232014.797101607 3180099.351045349, 4232042.001706574 3179761.3610786153, 4231996.04937005 3179728.504239913, 4231895.594707363 3179769.015594636, 4231872.065247555 3179699.0859603183, 4231938.226683054 3179480.8658089186, 4231689.153018698 3179315.0274705347, 4232464.175402721 3177414.126027548, 4232705.703126545 3177190.5863764333, 4232611.469324795 3177153.8459106376, 4232643.992912119 3176991.239664061, 4232767.97309051 3177020.6547010974, 4232877.748005974 3176864.265079603, 4233113.501141573 3176591.6659099897, 4232422.123611402 3176487.435673231, 4232053.0634237565 3176846.493207964, 4231981.070196628 3174721.990757327, 4230443.743091693 3174744.0353239323, 4228962.275395491 3174313.7684822204, 4228981.337108979 3174801.2350414814, 4228768.903837012 3174784.129808215, 4228803.188706935 3174961.826649562, 4229040.70330753 3175029.54488643, 4229069.546371893 3175274.8352399673, 4228962.951319554 3175995.1608858565, 4228951.28813159 3176140.004365963, 4229001.775816728 3176357.8848636737, 4229012.860935745 3176582.3121316927, 4228970.673438296 3176744.1367535014, 4228821.940745734 3176780.7546789646, 4228653.895318167 3176815.8170616953, 4228698.288874319 3176867.986740848, 4228742.682493246 3176920.156442631, 4228711.577924301 3177306.410947444, 4228752.083664774 3177406.8630108605, 4228908.466511367 3177516.646559905, 4228931.214953442 3177596.230801991, 4228917.995611224 3177760.390366178, 4228902.443276559 3177953.5197307034, 4228888.446020648 3178127.3365891958, 4228847.811970512 3178269.8513687984, 4228795.641145534 3178314.2457628907, 4228840.23212816 3178726.0422251667))",1712-07-01,,30,0,POINT (4230600.699862956 3177291.2599278623)
3,SOUTHEAST,HÖRUP,289,JUL 1712,,60.0,"POLYGON ((4252154.707795005 3177178.5453755795, 4251691.165586925 3177141.36774293, 4251336.176244185 3177083.7366875084, 4250615.768222953 3176977.352069979, 4250129.041574802 3176986.900656761, 4250122.843426663 3177064.1571378764, 4250360.396423831 3177131.811385998, 4250621.137700372 3177152.7289217054, 4250623.247019308 3178095.670675929, 4251200.356642531 3178171.124205057, 4251184.863362476 3178364.2693471843, 4251169.369926133 3178557.414994038, 4251078.941881641 3178715.3916920656, 4250964.5504701855 3178929.763154907, 4250810.393646986 3179034.0303840972, 4250735.044752861 3179125.1807024004, 4250667.388937593 3179362.7412209115, 4250419.756036867 3179420.630721564, 4250294.210061271 3179410.5581974513, 4250510.436358365 3179865.2869832027, 4250587.640979617 3180114.4716795958, 4250668.720007795 3180315.3696490885, 4250769.169055763 3180274.829958534, 4250949.14843826 3180454.5033312542, 4251182.839720285 3180570.447549726, 4251313.758258056 3180755.9048746624, 4251732.856842921 3180983.918527197, 4251827.10921322 3181020.638112606, 4251970.37375778 3181294.564173324, 4252088.177300251 3181401.211469519, 4252459.40575453 3181499.025406767, 4252850.725509732 3181588.729019811, 4253211.981607838 3181326.1048502983, 4253597.516380493 3181366.74095922, 4253867.933226695 3181388.424618341, 4253943.2813639995 3181297.267892618, 4253889.616239521 3181118.008055923, 4253925.968055103 3180907.087354436, 4254030.288569517 3180818.254190775, 4254235.057195183 3180688.875963841, 4254327.80485014 3180501.917365833, 4254302.703489961 3180451.3062128318, 4253912.5703249015 3180225.6317202877, 4253343.182896599 3180053.619535648, 4253698.77570037 3179012.9781208853, 4253672.214318867 3178495.7157482966, 4253770.33657511 3178484.144366826, 4253886.267939554 3178250.453832782, 4254092.535098317 3178344.7470209673, 4254191.473335164 3178080.5357623813, 4254247.544015132 3177744.8530586176, 4252900.677597312 3176966.229355709, 4252495.031263091 3177176.680780085, 4252367.164939259 3177195.5841547432, 4252154.707795005 3177178.5453755795))",1712-07-01,,30,0,POINT (4252336.724268622 3179160.5725134797)
4,SOUTHEAST,STORA KÖPINGE,376,JUL 1712,JAN 1713,80.0,"POLYGON ((4240456.475361526 3179067.689181899, 4240522.089893335 3179218.7537015737, 4240477.596283601 3179409.5665755062, 4240378.950996371 3179790.417501951, 4240079.308090488 3180495.300160911, 4239986.617215573 3180439.25193984, 4239739.661469322 3180730.428973349, 4239742.923605165 3181294.4316824037, 4239880.02043697 3181402.6490035197, 4239597.442851472 3181895.081012293, 4239535.9582470255 3182055.3749281326, 4239396.778666163 3182335.781081344, 4239452.735226205 3182486.077271867, 4239438.76056535 3182659.9116184195, 4239346.313799937 3182963.5167322354, 4239700.442806484 3183273.864107707, 4240078.825583665 3182798.843389343, 4240204.8073327355 3182682.61115323, 4240554.463490687 3182564.917248889, 4240792.020092589 3182632.6099327807, 4240869.28021555 3182638.819419993, 4241100.717007613 3182540.780986084, 4241149.004569967 3182544.6617027177, 4241189.530783425 3182645.1176299765, 4241204.96515828 3182694.9575764933, 4241301.54053461 3182702.7188880444, 4241444.162867839 3182500.3426672304, 4241552.379309063 3182363.240882971, 4241562.468315208 3182237.693431567, 4241574.109388432 3182092.831254681, 4241529.702429015 3182040.6635787296, 4241513.923296321 3181874.158731975, 4241460.290600569 3181694.8925968315, 4241376.909884375 3181522.9560798113, 4241412.090604614 3181448.025245112, 4241577.818132468 3181441.903471112, 4241996.96579031 3181426.985324214, 4242064.567537755 3181432.417223484, 4242713.330485585 3180979.11726913, 4243138.33525555 3180770.269146441, 4243488.058334165 3180409.5771707334, 4244036.352962637 3179996.797587493, 4244783.916100247 3179765.2509994432, 4244735.651247448 3178429.809941032, 4244619.766338694 3178420.503510777, 4244525.320977534 3177781.1633689343, 4244996.829290037 3176992.8939126935, 4244882.921607318 3176837.9597362736, 4244826.955481746 3176687.6785784364, 4244857.901015058 3176544.376850306, 4245000.4272304075 3176584.979020877, 4245325.235223714 3176776.2852359046, 4245477.9127619285 3176448.375111004, 4245479.956764887 3176059.7764340914, 4245491.5870407885 3175914.9247382134, 4245761.761862648 3175334.039496394, 4246057.935840622 3174308.1782068927, 4245920.907466605 3173957.0200876095, 4245976.942307646 3173864.33101587, 4245712.898528417 3173279.4483384457, 4242989.103270543 3175247.4463150357, 4240527.112824586 3176011.8200298063, 4240651.096949974 3176041.221307379, 4240666.530246444 3176091.0564705394, 4240633.248975841 3176263.3241651626, 4240623.936901196 3176379.204180588, 4240689.205622197 3176413.6062515005, 4240679.893577468 3176529.486528146, 4240724.29705254 3176581.650055853, 4240805.430647661 3176539.5745024555, 4240866.819698525 3176622.260086035, 4240909.671413164 3176693.73704772, 4240898.031649009 3176838.5880877436, 4240936.227579832 3176968.005832793, 4240979.07952065 3177039.4831421752, 4240924.587733959 3177112.8574321126, 4240853.110267534 3177155.709366286, 4240800.946298285 3177200.1132676327, 4240764.215756002 3177294.353178634, 4240681.097508738 3177482.0572319357, 4240673.249677604 3177821.5989375836, 4240622.805573893 3178449.2980652926, 4240555.118628944 3178686.841773181, 4240539.596673106 3178879.981626739, 4240456.475361526 3179067.689181899))",1712-07-01,1713-01-01,30,244,POINT (4242671.863855316 3178171.7113459506)
5,SOUTHEAST,VALLEBERGA,391,JUL 1712,,,"POLYGON ((4249981.772230523 3179064.7463230276, 4250047.408211598 3179215.8051686496, 4250201.510426605 3179354.5230797287, 4250294.210061271 3179410.5581974513, 4250419.756036867 3179420.630721564, 4250667.388937593 3179362.7412209115, 4250735.044752861 3179125.1807024004, 4250810.393646986 3179034.0303840972, 4250964.5504701855 3178929.763154907, 4251078.941881641 3178715.3916920656, 4251169.369926133 3178557.414994038, 4251184.863362476 3178364.2693471843, 4251200.356642531 3178171.124205057, 4250623.247019308 3178095.670675929, 4250621.137700372 3177152.7289217054, 4250360.396423831 3177131.811385998, 4250122.843426663 3177064.1571378764, 4250129.041574802 3176986.900656761, 4250615.768222953 3176977.352069979, 4251336.176244185 3177083.7366875084, 4251681.534513906 3171202.3820205354, 4251083.2050958 3171271.017847608, 4248870.007616422 3170996.2946740617, 4248622.762633266 3171170.8248893293, 4249193.089588763 3171935.7507967707, 4248672.005505225 3172010.564123917, 4248656.5092613585 3172203.691455207, 4248493.842348844 3172414.165983064, 4248273.593785789 3172736.643398822, 4248978.759457646 3173395.783893538, 4249188.879156881 3173441.7990828515, 4249192.9989699535 3173996.0989377154, 4248968.166603022 3175708.025230615, 4248629.640607095 3176293.161528656, 4248664.751178257 3176461.2040516944, 4248743.497029979 3176691.063506899, 4248832.317454112 3176795.3827023576, 4248826.892912255 3176862.981666124, 4248745.7622144185 3176905.0671348544, 4248527.108491398 3176965.273965235, 4248436.6776243625 3177123.2432844653, 4248135.341670505 3177244.848140201, 4247984.285839154 3177310.4786311574, 4248007.8315190235 3177380.4030788243, 4248048.366164984 3177480.8488766225, 4248085.025622505 3177629.580184658, 4248045.97856086 3177752.7971146293, 4248069.524385066 3177822.7220030786, 4248223.6195524065 3177961.440479993, 4248359.237601923 3177845.973409969, 4248455.808753947 3177853.723626903, 4248500.219294116 3177905.884311175, 4248895.80413197 3177820.9981129407, 4249012.464616377 3177820.6403603703, 4249275.115333777 3177938.9096915605, 4249433.087885668 3178029.3403035146, 4249506.470851736 3178083.8252838734, 4249647.45426827 3178143.7343378034, 4249757.916636014 3178220.6330597983, 4249823.551598338 3178371.6901530046, 4249902.302547026 3178601.555294115, 4249981.772230523 3179064.7463230276))",1712-07-01,,30,0,POINT (4250097.829593883 3174762.056364127)
6,SOUTHEAST,BROMMA,154,AUG 1712,,,"POLYGON ((4231996.04937005 3179728.504239913, 4232042.001706574 3179761.3610786153, 4232014.797101607 3180099.351045349, 4232069.181533916 3180268.959156463, 4232109.693275016 3180369.4146596347, 4232261.754478783 3180653.7998940423, 4232261.636606667 3180896.7788776113, 4232505.393267865 3180887.2394009866, 4232607.403887701 3180827.412771452, 4232852.7148629995 3180798.5580618773, 4232992.129659361 3180877.814923251, 4233378.410594861 3180908.9010519246, 4233418.924523472 3181009.357105488, 4233565.334492166 3181001.69974262, 4234063.9490946 3181207.0550694717, 4234351.331143705 3181259.3372281203, 4234386.407594464 3181427.393438634, 4234718.191900794 3181531.8453097306, 4235037.981280119 3180818.881306391, 4235217.246892549 3180765.265761676, 4235441.355361969 3180637.5005564373, 4235663.468018809 3180655.3675904097, 4235814.53856156 3180589.762996956, 4235938.191205739 3180502.513646723, 4236023.215334636 3180412.157120802, 4236028.652620166 3180344.557738774, 4235872.691569887 3180108.4643313326, 4235800.978188894 3179791.6729674335, 4235719.944018243 3179590.7662240095, 4235501.8245663885 3179281.639331704, 4235025.837746196 3177707.7074453356, 4234737.691761723 3177665.0896666734, 4234610.601698158 3177674.304006324, 4234532.905990586 3177794.4024708187, 4234403.485080737 3177832.586390003, 4234410.702226984 3178105.304021898, 4234349.211418192 3178265.5835136306, 4234209.6895083655 3178429.304593081, 4234089.9240496205 3178468.2649827558, 4233918.433879004 3178425.3095447063, 4233862.380510106 3178517.991935683, 4233674.685036476 3178434.8550525103, 4233624.9592036195 3178207.311986496, 4233429.494616084 3178220.741741102, 4233251.789285783 3178255.0384040102, 4233269.103528528 3178402.219847567, 4232977.848739942 3178398.220993073, 4232903.920785539 3178713.0067232964, 4232266.227731963 3179390.633451254, 4232055.992434545 3179587.538270102, 4231938.226683054 3179480.8658089186, 4231872.065247555 3179699.0859603183, 4231895.594707363 3179769.015594636, 4231996.04937005 3179728.504239913))",1712-08-01,,61,0,POINT (4234027.027249504 3179705.7627846766)
7,SOUTHEAST,GLEMMINGE,362,AUG 1712,AUG 1712,,"POLYGON ((4246778.052703898 3180955.653952811, 4246924.465569922 3180947.968857643, 4246995.944484853 3180905.1086067185, 4247136.9974202635 3180722.0379682407, 4247196.913773267 3180581.0525401374, 4247364.966571179 3180545.944656366, 4247560.4411576465 3180532.476919638, 4247927.360071058 3180804.9216090357, 4248734.297257368 3181044.642766779, 4248832.4229158 3181033.0783464797, 4249397.926984685 3181253.416412808, 4249865.308778496 3181485.31716263, 4249968.142336803 3181172.8148626024, 4250074.017206657 3181064.672688849, 4250317.006923149 3181064.729503335, 4250444.576716362 3180686.1747761467, 4250535.783971265 3180518.53754037, 4250668.720007795 3180315.3696490885, 4250587.640979617 3180114.4716795958, 4250510.436358365 3179865.2869832027, 4250294.210061271 3179410.5581974513, 4250201.510426605 3179354.5230797287, 4250047.408211598 3179215.8051686496, 4249981.772230523 3179064.7463230276, 4249902.302547026 3178601.555294115, 4249823.551598338 3178371.6901530046, 4249757.916636014 3178220.6330597983, 4249647.45426827 3178143.7343378034, 4249506.470851736 3178083.8252838734, 4249433.087885668 3178029.3403035146, 4249275.115333777 3177938.9096915605, 4249012.464616377 3177820.6403603703, 4248895.80413197 3177820.9981129407, 4248500.219294116 3177905.884311175, 4248455.808753947 3177853.723626903, 4248359.237601923 3177845.973409969, 4248223.6195524065 3177961.440479993, 4248069.524385066 3177822.7220030786, 4247789.049358177 3177926.561973559, 4247675.489472384 3177888.289301413, 4247439.488203873 3177801.311302673, 4247132.432627866 3177630.874824111, 4247032.05200645 3177428.4318854837, 4246902.700927563 3177223.663860751, 4246833.197159871 3177120.8924174737, 4246601.851124064 3176975.971414169, 4246306.008755875 3176786.9955875273, 4246188.221794751 3176680.347998993, 4245972.384705421 3176342.2891291515, 4245717.499941195 3176127.443921773, 4245479.956764887 3176059.7764340914, 4245477.9127619285 3176448.375111004, 4245325.235223714 3176776.2852359046, 4245000.4272304075 3176584.979020877, 4244857.901015058 3176544.376850306, 4244826.955481746 3176687.6785784364, 4244882.921607318 3176837.9597362736, 4244996.829290037 3176992.8939126935, 4244525.320977534 3177781.1633689343, 4244619.766338694 3178420.503510777, 4244735.651247448 3178429.809941032, 4244783.916100247 3179765.2509994432, 4244862.725282793 3179752.14094722, 4245675.695740848 3180400.600263938, 4245664.063721194 3180545.4610015755, 4245654.75803967 3180661.349796989, 4245696.841300037 3180742.486474918, 4245887.663379552 3180786.967964456, 4246778.052703898 3180955.653952811))",1712-08-01,1712-08-01,61,91,POINT (4247370.639288611 3179086.3361054286)
8,SOUTHEAST,HAMMENHÖG,169,AUG 1712,,,"POLYGON ((4255090.885214467 3182137.709790182, 4254726.250555586 3181836.3185860272, 4254356.973028651 3181592.8739370867, 4253943.2813639995 3181297.267892618, 4253867.933226695 3181388.424618341, 4253597.516380493 3181366.74095922, 4253211.981607838 3181326.1048502983, 4252850.725509732 3181588.729019811, 4252459.40575453 3181499.025406767, 4252478.111117209 3182598.8774476866, 4252341.713865118 3182724.0175657165, 4252384.892765405 3183155.163046346, 4251944.654384689 3184159.9061316517, 4252170.611953706 3184372.435990786, 4252438.664097683 3184666.104547788, 4252634.100887185 3184895.6271496518, 4252954.321202731 3185144.8786578258, 4253463.836499629 3185457.9129558867, 4253769.3930797065 3185647.6643899824, 4253833.17518412 3185458.370826912, 4254184.4269390125 3185078.281394508, 4254727.204173101 3185219.0065435427, 4254833.079629483 3185110.8509600963, 4255625.139808959 3184688.334511347, 4255657.985804312 3184642.366058549, 4255587.15218228 3183100.895910282, 4255613.842872728 3182889.193741362, 4255718.609996371 3182431.0303363535, 4255529.322243383 3182367.2567996136, 4255090.885214467 3182137.709790182))",1712-08-01,,61,0,POINT (4253884.1828368595 3183416.9898560927)
9,SOUTHEAST,INGELSTORP,358,AUG 1712,,1.0,"POLYGON ((4246833.197159871 3177120.8924174737, 4246902.700927563 3177223.663860751, 4247032.05200645 3177428.4318854837, 4247132.432627866 3177630.874824111, 4247439.488203873 3177801.311302673, 4247675.489472384 3177888.289301413, 4247789.049358177 3177926.561973559, 4248069.524385066 3177822.7220030786, 4248045.97856086 3177752.7971146293, 4248085.025622505 3177629.580184658, 4248048.366164984 3177480.8488766225, 4248007.8315190235 3177380.4030788243, 4247984.285839154 3177310.4786311574, 4248135.341670505 3177244.848140201, 4248436.6776243625 3177123.2432844653, 4248527.108491398 3176965.273965235, 4248745.7622144185 3176905.0671348544, 4248826.892912255 3176862.981666124, 4248832.317454112 3176795.3827023576, 4248743.497029979 3176691.063506899, 4248664.751178257 3176461.2040516944, 4248629.640607095 3176293.161528656, 4248968.166603022 3175708.025230615, 4249192.9989699535 3173996.0989377154, 4249188.879156881 3173441.7990828515, 4248978.759457646 3173395.783893538, 4248273.593785789 3172736.643398822, 4248493.842348844 3172414.165983064, 4248656.5092613585 3172203.691455207, 4248672.005505225 3172010.564123917, 4249193.089588763 3171935.7507967707, 4248622.762633266 3171170.8248893293, 4245712.898528417 3173279.4483384457, 4245976.942307646 3173864.33101587, 4245920.907466605 3173957.0200876095, 4246057.935840622 3174308.1782068927, 4245761.761862648 3175334.039496394, 4245491.5870407885 3175914.9247382134, 4245479.956764887 3176059.7764340914, 4245717.499941195 3176127.443921773, 4245972.384705421 3176342.2891291515, 4246188.221794751 3176680.347998993, 4246306.008755875 3176786.9955875273, 4246601.851124064 3176975.971414169, 4246833.197159871 3177120.8924174737))",1712-08-01,,61,0,POINT (4247499.939231565 3174682.3176888516)
10,SOUTHEAST,HEDESKOGA,148,SEP 1712,OCT 1712,5.0,"POLYGON ((4233181.208405356 3176354.1400631, 4233118.055184642 3175931.1453313683, 4232453.663544339 3175129.3340392923, 4232233.684619894 3174722.8825157746, 4231981.070196628 3174721.990757327, 4232053.0634237565 3176846.493207964, 4232422.123611402 3176487.435673231, 4233113.501141573 3176591.6659099897, 4232877.748005974 3176864.265079603, 4232767.97309051 3177020.6547010974, 4232643.992912119 3176991.239664061, 4232611.469324795 3177153.8459106376, 4232705.703126545 3177190.5863764333, 4232464.175402721 3177414.126027548, 4231689.153018698 3179315.0274705347, 4231938.226683054 3179480.8658089186, 4232055.992434545 3179587.538270102, 4232266.227731963 3179390.633451254, 4232903.920785539 3178713.0067232964, 4232977.848739942 3178398.220993073, 4233269.103528528 3178402.219847567, 4233251.789285783 3178255.0384040102, 4233429.494616084 3178220.741741102, 4233624.9592036195 3178207.311986496, 4233674.685036476 3178434.8550525103, 4233862.380510106 3178517.991935683, 4233918.433879004 3178425.3095447063, 4234089.9240496205 3178468.2649827558, 4234209.6895083655 3178429.304593081, 4234349.211418192 3178265.5835136306, 4234410.702226984 3178105.304021898, 4234403.485080737 3177832.586390003, 4234532.905990586 3177794.4024708187, 4234610.601698158 3177674.304006324, 4234737.691761723 3177665.0896666734, 4234983.646766364 3177023.97632358, 4234658.76563811 3177075.5944231274, 4233901.780249022 3176820.3140760576, 4233913.43393927 3176675.466611015, 4233600.208785743 3176582.2326333914, 4233181.208405356 3176354.1400631))",1712-09-01,1712-10-01,92,152,POINT (4233060.46303023 3177329.2552913846)
11,SOUTHEAST,ÖVRABY,208,SEP 1712,SEP 1712,,"POLYGON ((4242987.654426002 3183129.802075278, 4242831.233723619 3183020.0349852936, 4242794.584559984 3182871.290985661, 4242634.284989974 3182809.811986497, 4242439.3193545705 3182453.949952251, 4242254.012967894 3182098.865450108, 4241552.379309063 3182363.240882971, 4241444.162867839 3182500.3426672304, 4241301.54053461 3182702.7188880444, 4241204.96515828 3182694.9575764933, 4241189.530783425 3182645.1176299765, 4241149.004569967 3182544.6617027177, 4241100.717007613 3182540.780986084, 4240869.28021555 3182638.819419993, 4240792.020092589 3182632.6099327807, 4240554.463490687 3182564.917248889, 4240204.8073327355 3182682.61115323, 4240078.825583665 3182798.843389343, 4239700.442806484 3183273.864107707, 4239607.65483997 3183460.804710772, 4239538.49897292 3183474.6852104226, 4239271.873390141 3183647.650505757, 4239138.123886108 3183860.458345809, 4239066.541764379 3184146.3053745893, 4239709.724040391 3184246.6146810306, 4239853.036778346 3184277.575793492, 4240384.21115838 3184320.2742875516, 4240619.535564428 3184173.9474879974, 4240779.835569761 3184235.432442519, 4240899.176242471 3184322.7854549177, 4241046.281240785 3184548.4521109443, 4241294.965942593 3184840.6044825586, 4241848.7366271475 3185448.883910194, 4242302.659688671 3185485.3610797925, 4242831.780770601 3185916.6915288037, 4242843.421057642 3185771.8212999525, 4242993.7231223965 3185715.855343646, 4243272.336244657 3185514.672725878, 4243562.157630925 3185294.9493127945, 4243867.413894188 3185125.066569408, 4243973.303501476 3185016.9297065735, 4244062.2044024505 3184878.267378883, 4244039.437240081 3184798.6765656355, 4244290.273374834 3184459.177935034, 4244380.645975771 3184544.1987273702, 4244487.309660901 3184426.4038565927, 4244620.619382121 3184339.9097612742, 4244730.385209141 3184183.4833471356, 4244813.50411523 3183995.756465594, 4244831.344960014 3183773.626748373, 4244819.786214241 3183675.4974584086, 4244856.318924612 3182978.5888967053, 4244043.871309495 3183049.412432989, 4243792.344152722 3183155.5676261573, 4243543.143878501 3183232.748908471, 4243224.440557481 3183207.1454812386, 4242987.654426002 3183129.802075278))",1712-09-01,1712-09-01,92,121,POINT (4242196.192299193 3183903.5739921844)
12,SOUTHEAST,ÖVRABY,208,NOV 1712,NOV 1712,,"POLYGON ((4242987.654426002 3183129.802075278, 4242831.233723619 3183020.0349852936, 4242794.584559984 3182871.290985661, 4242634.284989974 3182809.811986497, 4242439.3193545705 3182453.949952251, 4242254.012967894 3182098.865450108, 4241552.379309063 3182363.240882971, 4241444.162867839 3182500.3426672304, 4241301.54053461 3182702.7188880444, 4241204.96515828 3182694.9575764933, 4241189.530783425 3182645.1176299765, 4241149.004569967 3182544.6617027177, 4241100.717007613 3182540.780986084, 4240869.28021555 3182638.819419993, 4240792.020092589 3182632.6099327807, 4240554.463490687 3182564.917248889, 4240204.8073327355 3182682.61115323, 4240078.825583665 3182798.843389343, 4239700.442806484 3183273.864107707, 4239607.65483997 3183460.804710772, 4239538.49897292 3183474.6852104226, 4239271.873390141 3183647.650505757, 4239138.123886108 3183860.458345809, 4239066.541764379 3184146.3053745893, 4239709.724040391 3184246.6146810306, 4239853.036778346 3184277.575793492, 4240384.21115838 3184320.2742875516, 4240619.535564428 3184173.9474879974, 4240779.835569761 3184235.432442519, 4240899.176242471 3184322.7854549177, 4241046.281240785 3184548.4521109443, 4241294.965942593 3184840.6044825586, 4241848.7366271475 3185448.883910194, 4242302.659688671 3185485.3610797925, 4242831.780770601 3185916.6915288037, 4242843.421057642 3185771.8212999525, 4242993.7231223965 3185715.855343646, 4243272.336244657 3185514.672725878, 4243562.157630925 3185294.9493127945, 4243867.413894188 3185125.066569408, 4243973.303501476 3185016.9297065735, 4244062.2044024505 3184878.267378883, 4244039.437240081 3184798.6765656355, 4244290.273374834 3184459.177935034, 4244380.645975771 3184544.1987273702, 4244487.309660901 3184426.4038565927, 4244620.619382121 3184339.9097612742, 4244730.385209141 3184183.4833471356, 4244813.50411523 3183995.756465594, 4244831.344960014 3183773.626748373, 4244819.786214241 3183675.4974584086, 4244856.318924612 3182978.5888967053, 4244043.871309495 3183049.412432989, 4243792.344152722 3183155.5676261573, 4243543.143878501 3183232.748908471, 4243224.440557481 3183207.1454812386, 4242987.654426002 3183129.802075278))",1712-11-01,1712-11-01,153,182,POINT (4242196.192299193 3183903.5739921844)
